Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Carabobo,Valencia,San Jose,10351,75770,172,48,19,10,86370,639,87009
Carabobo,Valencia,Santa Rosa,23485,16580,256,33,18,17,40389,946,41335
Cojedes,Anzoategui,Cojedes,2810,941,13,1,0,1,3766,90,3856
Cojedes,Anzoategui,Juan De Mata Suarez,3927,1786,31,2,0,1,5747,192,5939
Cojedes,Ezequiel Zamora,Juan Angel Bravo,637,256,6,0,0,0,899,14,913
Cojedes,Ezequiel Zamora,Manuel Manrique,1538,879,12,2,2,1,2434,61,2495
Cojedes,Ezequiel Zamora,San Carlos De Austria,31269,21785,379,24,21,28,53506,1296,54802
Cojedes,Girardot,El Baul,3910,1896,34,4,3,1,5848,132,5980
Cojedes,Girardot,Sucre,1032,296,12,0,2,0,1342,15,1357
Cojedes,Lima Blanco,La Aguadita,1840,677,11,0,3,1,2532,70,2602
Cojedes,Lima Blanco,Macapo,2972,1549,15,2,0,0,4538,101,4639
Cojedes,Pao S J Bautista,El Pao,7802,2008,60,3,6,8,9887,272,10159
Cojedes,Ricaurte,El Amparo,927,171,8,0,2,1,1109,19,1128
Cojedes,Ricaurte,Libertad De Cojedes,5617,1432,44,2,2,1,7098,158,7256
Cojedes,Romulo Gallegos,Romulo Gallegos,7418,3304,92,1,6,2,10823,278,11101
Cojedes,Tinaco,Grl/Jefe Jose L Silva,12204,6188,104,6,13,2,18517,471,18988
Cojedes,Tinaquillo,Tinaquillo,32675,17416,281,22,22,23,50439,1362,51801
Delta Amac,Antonio Diaz,Almirante Luis Brion,776,117,3,0,0,0,896,10,906
Delta Amac,Antonio Diaz,Aniceto Lugo,639,71,7,0,1,0,718,4,722
Delta Amac,Antonio Diaz,Curiapo,2723,669,12,0,2,1,3407,39,3446
Delta Amac,Antonio Diaz,Manuel Renaud,2630,366,9,2,3,3,3013,20,3033
Delta Amac,Antonio Diaz,Padre Barral,2642,281,2,0,4,1,2930,29,2959
Delta Amac,Antonio Diaz,Santos De Abelgas,726,121,2,0,0,0,849,10,859
Delta Amac,Casacoima,5 De Julio,1031,159,10,1,1,1,1203,36,1239
Delta Amac,Casacoima,Imataca,2143,645,20,0,9,2,2819,82,2901
Delta Amac,Casacoima,Juan Bautista Arismen,1820,508,7,0,1,2,2338,50,2388
Delta Amac,Casacoima,Manuel Piar,6303,1905,50,1,6,2,8267,217,8484
Delta Amac,Casacoima,Romulo Gallegos,915,447,11,1,2,1,1377,23,1400
Delta Amac,Pedernales,Luis B Prieto Figuero,1805,460,13,1,1,0,2280,33,2313
Delta Amac,Pedernales,Pedernales,2306,679,8,1,0,0,2994,51,3045
Delta Amac,Tucupita,Jose Vidal Marcano,4608,3862,87,3,4,3,8567,207,8774
Delta Amac,Tucupita,Juan Millan,3669,1249,41,1,8,5,4973,88,5061
Delta Amac,Tucupita,Leonardo Ruiz Pineda,3547,2768,73,2,7,1,6398,202,6600
Delta Amac,Tucupita,Mcl Antonio J De Sucre,3062,2071,56,6,2,7,5204,186,5390
Delta Amac,Tucupita,Mons Argimiro Garcia,4566,3961,80,1,6,2,8616,243,8859
Delta Amac,Tucupita,San Jose,2174,2643,46,4,0,2,4869,113,4982
Delta Amac,Tucupita,San Rafael,4275,2342,59,3,4,7,6690,216,6906
Delta Amac,Tucupita,Virgen Del Valle,2603,1182,30,0,1,3,3819,102,3921
